date,open,high,low,close,volume
2024-01-02,100.2,100.54,99.52,99.83,920478
2024-01-03,100.12,101.47,99.84,100.89,816362
2024-01-04,100.95,101.62,100.09,100.66,1024337
2024-01-05,100.27,100.4,98.65,98.75,837386
2024-01-08,98.57,99.05,97.7,98.08,1059556
2024-01-09,98.38,98.85,98.09,98.83,994404
2024-01-10,98.6,99.22,98.41,99.2,957779
2024-01-11,99.56,100.53,99.32,100.51,1002438
2024-01-12,100.12,100.52,99.36,100.28,1002708
2024-01-15,100.51,101.14,99.15,100.03,916353
2024-01-16,99.81,100.55,99.19,99.24,980685
2024-01-17,99.15,99.4,98.76,99.18,1004439
2024-01-18,99.56,100.83,99.05,100.0,1123970
2024-01-19,99.75,100.26,98.6,98.75,1023261
2024-01-22,98.46,98.61,97.47,98.02,1009252
2024-01-23,98.11,98.93,96.43,96.98,1114219
2024-01-24,96.71,96.75,95.53,96.07,1182226
2024-01-25,96.0,96.46,95.57,96.24,984500
2024-01-26,96.25,96.53,95.06,95.9,1061195
2024-01-29,96.39,97.05,94.29,94.82,1102958
2024-01-30,95.02,95.08,94.48,95.02,1145082
2024-01-31,95.2,96.11,94.51,94.6,999384
2024-02-01,94.71,95.67,94.37,95.31,1176538
2024-02-02,95.15,95.83,94.64,95.03,1053264
2024-02-05,94.82,95.6,93.97,94.75,1115117
2024-02-06,94.23,94.43,93.7,94.25,1178193
2024-02-07,93.81,94.23,93.27,94.08,1069901
2024-02-08,93.98,94.73,93.53,94.17,979979
2024-02-09,94.5,96.03,93.9,95.35,1070932
2024-02-12,95.57,97.27,95.09,96.3,1083175
2024-02-13,96.68,97.45,95.44,95.72,1037595
2024-02-14,96.24,97.92,95.87,97.21,1030444
2024-02-15,97.41,97.8,97.22,97.31,1018657
2024-02-16,97.11,98.95,96.62,97.84,1020579
2024-02-19,98.3,99.12,97.12,97.26,948548
2024-02-20,97.15,99.58,96.98,99.26,954305
2024-02-21,99.06,100.7,98.29,100.23,977265
2024-02-22,100.48,101.21,99.79,100.19,1055919
2024-02-23,100.47,100.71,99.75,100.67,871427
2024-02-26,100.63,101.1,99.67,100.08,878648
2024-02-27,100.12,100.31,99.5,99.73,1003592
2024-02-28,99.28,103.12,98.96,102.42,835586
2024-02-29,102.7,103.7,101.99,103.48,999979
2024-03-01,103.46,104.3,103.2,103.64,918832
2024-03-04,103.95,105.91,103.83,105.02,933329
2024-03-05,105.86,105.87,105.23,105.83,746127
2024-03-06,104.76,106.97,104.15,106.8,732685
2024-03-07,106.55,107.43,105.99,106.87,935073
2024-03-08,107.01,107.11,105.5,105.65,810155
2024-03-11,105.32,105.58,104.92,105.3,678030
2024-03-12,104.65,106.72,103.92,105.88,699917
2024-03-13,106.22,106.75,103.99,104.21,719235
2024-03-14,104.69,105.13,104.41,104.55,786473
2024-03-15,104.66,105.33,103.92,104.18,755240
2024-03-18,103.53,103.7,102.99,103.34,857560
2024-03-19,103.33,103.69,101.83,102.23,735851
2024-03-20,101.68,102.9,101.44,102.46,651648
2024-03-21,102.57,102.72,100.7,101.01,745464
2024-03-22,100.92,101.43,99.76,99.98,620528
2024-03-25,100.3,100.75,99.92,99.96,749968
2024-03-26,100.11,102.46,99.61,101.81,733373
2024-03-27,101.64,101.98,100.51,101.28,811681
2024-03-28,101.41,101.62,98.88,99.06,668340
2024-03-29,98.67,101.16,97.97,100.66,710825
2024-04-01,100.96,101.88,100.45,101.28,623148
2024-04-02,101.61,102.4,100.59,101.36,795119
2024-04-03,101.05,101.46,100.14,100.71,734441
2024-04-04,101.68,101.81,100.4,101.01,792324
2024-04-05,100.8,101.22,100.25,101.15,712544
2024-04-08,101.33,101.98,99.7,100.26,719562
2024-04-09,100.11,100.78,98.76,99.19,802719
2024-04-10,100.16,101.07,97.57,98.4,708105
2024-04-11,98.37,99.03,97.89,98.65,862210
2024-04-12,99.25,99.89,98.98,99.1,845735
2024-04-15,98.83,100.01,97.89,99.22,829301
2024-04-16,99.23,99.53,97.34,98.25,739569
2024-04-17,98.32,99.1,97.53,97.76,913956
2024-04-18,98.3,98.73,96.89,97.5,748469
2024-04-19,97.6,97.85,96.38,96.55,799922
2024-04-22,96.47,96.69,95.91,96.18,785457
2024-04-23,96.43,97.18,95.74,95.96,896003
2024-04-24,95.64,96.03,95.26,95.82,861533
2024-04-25,94.66,97.0,94.26,96.56,916964
2024-04-26,96.48,96.76,95.36,95.85,826087
2024-04-29,95.38,95.56,94.91,94.99,1044907
2024-04-30,95.27,95.34,93.66,94.02,915289
2024-05-01,94.76,95.12,94.19,94.41,929810
2024-05-02,94.33,96.65,93.92,95.86,1082252
2024-05-03,96.09,96.95,95.03,95.69,1092289
2024-05-06,95.65,95.67,93.13,93.25,887923
2024-05-07,93.3,93.47,92.19,92.63,973705
2024-05-08,92.55,93.94,91.46,93.54,979403
2024-05-09,93.77,94.09,93.05,93.52,981455
